date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-18,AMZN,84,0,78,6,0.0,0.8578,0.9308
2025-07-18,AAPL,84,6,72,6,0.9264,0.7976,0.9544
2025-07-18,GOOGL,84,12,60,12,0.9037,0.7965,0.9544
2025-07-18,005930.KS,73,10,52,11,0.6251,0.812,0.5247
2025-07-18,2317.TW,64,14,29,21,0.7823,0.7522,0.7893
2025-07-18,MSFT,80,12,56,12,0.9037,0.7302,0.7409
2025-07-18,JD,67,44,18,5,0.784,0.8973,0.5396
2025-07-18,BABA,66,31,20,15,0.7922,0.7143,0.7729
2025-07-18,T,78,12,36,30,0.5211,0.7716,0.7899
2025-07-18,META,84,0,30,54,0.0,0.8264,0.8154
