symbol,predicted_price,date
AMZN,223.19,2025-07-15
AAPL,209.38,2025-07-15
GOOGL,179.76,2025-07-15
005930.KS,62753.88,2025-07-15
2317.TW,162.35,2025-07-15
MSFT,501.62,2025-07-15
JD,30.88,2025-07-15
BABA,107.76,2025-07-15
T,27.19,2025-07-15
META,721.35,2025-07-15
