symbol,predicted_price,date
AMZN,223.13,2025-07-20
AAPL,209.86,2025-07-20
GOOGL,183.85,2025-07-20
005930.KS,66717.1,2025-07-20
2317.TW,165.14,2025-07-20
MSFT,497.31,2025-07-20
JD,33.48,2025-07-20
BABA,119.0,2025-07-20
T,26.84,2025-07-20
META,698.37,2025-07-20
