symbol,predicted_price,date
AMZN,224.8,2025-07-22
AAPL,210.89,2025-07-22
GOOGL,186.85,2025-07-22
005930.KS,67382.9,2025-07-22
2317.TW,164.74,2025-07-22
MSFT,498.43,2025-07-22
JD,33.36,2025-07-22
BABA,120.06,2025-07-22
T,27.05,2025-07-22
META,701.88,2025-07-22
