date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-07,AMZN,78,6,72,0,0.5926,0.8479,0.0
2025-08-07,AAPL,84,0,72,12,0.0,0.8982,0.8536
2025-08-07,GOOGL,84,0,78,6,0.0,0.885,0.8648
2025-08-07,005930.KS,77,5,61,11,0.9485,0.8543,0.4696
2025-08-07,2317.TW,70,20,30,20,0.8196,0.7817,0.829
2025-08-07,MSFT,84,0,66,18,0.0,0.8179,0.7899
2025-08-07,JD,60,35,20,5,0.7896,0.8709,0.89
2025-08-07,BABA,70,20,40,10,0.7808,0.8266,0.8541
2025-08-07,T,78,30,30,18,0.8823,0.845,0.9396
2025-08-07,META,84,24,30,30,0.9027,0.7693,0.8852
