date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-26,AMZN,84,6,60,18,0.7103,0.8658,0.8859
2025-07-26,AAPL,84,0,72,12,0.0,0.8718,0.9204
2025-07-26,GOOGL,84,6,42,36,0.7103,0.9091,0.8383
2025-07-26,005930.KS,79,27,46,6,0.7181,0.8587,0.8026
2025-07-26,2317.TW,55,31,8,16,0.8158,0.7142,0.8306
2025-07-26,MSFT,84,0,42,42,0.0,0.856,0.9608
2025-07-26,JD,60,24,23,13,0.7598,0.8016,0.7824
2025-07-26,BABA,70,25,40,5,0.8811,0.8816,0.5958
2025-07-26,T,84,12,60,12,0.6537,0.8015,0.8592
2025-07-26,META,83,12,53,18,0.7539,0.8263,0.9341
