date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-05,AMZN,84,0,78,6,0.0,0.849,0.9548
2025-08-05,AAPL,84,24,36,24,0.7394,0.7883,0.767
2025-08-05,GOOGL,84,12,72,0,0.8121,0.8227,0.0
2025-08-05,005930.KS,74,10,59,5,0.7937,0.8663,0.9428
2025-08-05,2317.TW,61,30,18,13,0.7725,0.6699,0.9308
2025-08-05,MSFT,84,6,66,12,0.7714,0.8288,0.9421
2025-08-05,JD,39,18,13,8,0.7584,0.7321,0.8671
2025-08-05,BABA,63,5,58,0,0.553,0.851,0.0
2025-08-05,T,84,0,54,30,0.0,0.8562,0.8219
2025-08-05,META,84,12,54,18,0.763,0.8244,0.9398
