date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-02,AMZN,84,24,48,12,0.8458,0.8696,0.8512
2025-08-02,AAPL,84,48,18,18,0.8037,0.7982,0.9672
2025-08-02,GOOGL,84,18,42,24,0.6884,0.8656,0.7554
2025-08-02,005930.KS,78,22,39,17,0.7216,0.837,0.9337
2025-08-02,2317.TW,65,43,22,0,0.8345,0.6678,0.0
2025-08-02,MSFT,84,36,18,30,0.7841,0.8859,0.7742
2025-08-02,JD,66,33,23,10,0.7297,0.6861,0.8896
2025-08-02,BABA,73,15,48,10,0.7837,0.8822,0.9142
2025-08-02,T,84,12,72,0,0.9071,0.8272,0.0
2025-08-02,META,83,24,35,24,0.6748,0.8798,0.8074
