date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-08,AMZN,84,6,72,6,0.6814,0.8806,0.9205
2025-08-08,AAPL,84,42,30,12,0.7667,0.8555,0.8485
2025-08-08,GOOGL,84,18,54,12,0.6846,0.8224,0.6503
2025-08-08,005930.KS,79,16,63,0,0.8986,0.7913,0.0
2025-08-08,2317.TW,62,32,22,8,0.7986,0.7357,0.9211
2025-08-08,MSFT,84,6,54,24,0.955,0.7741,0.8919
2025-08-08,JD,57,34,19,4,0.7345,0.8331,0.89
2025-08-08,BABA,71,15,51,5,0.8034,0.8678,0.8601
2025-08-08,T,84,18,60,6,0.8607,0.7583,0.8709
2025-08-08,META,79,15,48,16,0.8379,0.8426,0.6257
