date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-01,AMZN,84,6,60,18,0.948,0.8964,0.9512
2025-08-01,AAPL,84,6,66,12,0.884,0.9067,0.9547
2025-08-01,GOOGL,84,36,48,0,0.8941,0.8842,0.0
2025-08-01,005930.KS,84,24,18,42,0.8021,0.8611,0.9655
2025-08-01,2317.TW,72,36,21,15,0.868,0.6032,0.8876
2025-08-01,MSFT,84,42,18,24,0.8736,0.8731,0.9466
2025-08-01,JD,68,40,28,0,0.6836,0.6746,0.0
2025-08-01,BABA,74,11,63,0,0.7119,0.8592,0.0
2025-08-01,T,84,12,54,18,0.871,0.7593,0.7976
2025-08-01,META,84,18,60,6,0.8783,0.8882,0.9698
