date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-09,AMZN,84,30,54,0,0.8027,0.8736,0.0
2025-08-09,AAPL,84,12,60,12,0.6208,0.7951,0.8213
2025-08-09,GOOGL,78,18,48,12,0.7598,0.8539,0.6713
2025-08-09,005930.KS,84,18,60,6,0.8226,0.7354,0.8095
2025-08-09,2317.TW,64,46,13,5,0.8323,0.7465,0.928
2025-08-09,MSFT,78,18,54,6,0.7809,0.7526,0.9751
2025-08-09,JD,56,17,36,3,0.7261,0.8472,0.89
2025-08-09,BABA,69,10,54,5,0.9307,0.8329,0.928
2025-08-09,T,78,12,54,12,0.8097,0.8212,0.8143
2025-08-09,META,84,12,60,12,0.7296,0.803,0.8822
