symbol,predicted_price,date
AMZN,230.11,2025-07-29
AAPL,213.08,2025-07-29
GOOGL,190.58,2025-07-29
005930.KS,68259.68,2025-07-29
2317.TW,177.51,2025-07-29
MSFT,510.37,2025-07-29
JD,33.15,2025-07-29
BABA,120.99,2025-07-29
T,27.8,2025-07-29
META,714.35,2025-07-29
