date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-29,AMZN,84,24,48,12,0.8393,0.9149,0.8664
2025-07-29,AAPL,84,48,30,6,0.8587,0.8466,0.7796
2025-07-29,GOOGL,84,12,54,18,0.8759,0.8756,0.826
2025-07-29,005930.KS,84,54,18,12,0.8202,0.8548,0.7768
2025-07-29,2317.TW,25,16,5,4,0.8738,0.78,0.8091
2025-07-29,MSFT,84,54,24,6,0.8665,0.8244,0.639
2025-07-29,JD,49,17,17,15,0.7145,0.7483,0.7418
2025-07-29,BABA,68,20,29,19,0.8342,0.773,0.6493
2025-07-29,T,84,12,48,24,0.7408,0.8225,0.836
2025-07-29,META,79,29,40,10,0.905,0.8214,0.5936
