date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-22,AMZN,84,6,60,18,0.7898,0.8635,0.9098
2025-07-22,AAPL,74,15,36,23,0.8615,0.8837,0.9077
2025-07-22,GOOGL,84,6,72,6,0.9478,0.8326,0.9295
2025-07-22,005930.KS,72,10,62,0,0.9277,0.7543,0.0
2025-07-22,2317.TW,36,6,21,9,0.665,0.8704,0.9209
2025-07-22,MSFT,84,6,36,42,0.6193,0.8525,0.8754
2025-07-22,JD,42,17,22,3,0.8387,0.8866,0.8743
2025-07-22,BABA,59,4,32,23,0.7489,0.9133,0.8538
2025-07-22,T,84,12,60,12,0.6234,0.7166,0.791
2025-07-22,META,76,11,54,11,0.8708,0.81,0.6714
