date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-28,AMZN,84,6,78,0,0.4687,0.9025,0.0
2025-07-28,AAPL,79,6,73,0,0.6418,0.8458,0.0
2025-07-28,GOOGL,84,6,72,6,0.7696,0.8263,0.6171
2025-07-28,005930.KS,79,18,50,11,0.8757,0.7985,0.6349
2025-07-28,2317.TW,39,25,7,7,0.8596,0.7761,0.8027
2025-07-28,MSFT,67,16,51,0,0.7197,0.8626,0.0
2025-07-28,JD,45,20,15,10,0.6978,0.7311,0.7996
2025-07-28,BABA,70,19,36,15,0.6923,0.8085,0.772
2025-07-28,T,72,12,54,6,0.6545,0.8114,0.6718
2025-07-28,META,76,6,55,15,0.9307,0.8458,0.8578
