date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-25,AMZN,84,0,72,12,0.0,0.8771,0.7952
2025-07-25,AAPL,84,0,66,18,0.0,0.8398,0.9079
2025-07-25,GOOGL,84,18,48,18,0.7415,0.8392,0.8304
2025-07-25,005930.KS,74,25,37,12,0.8897,0.8958,0.8992
2025-07-25,2317.TW,63,33,16,14,0.8081,0.7406,0.8229
2025-07-25,MSFT,84,12,36,36,0.6649,0.714,0.8162
2025-07-25,JD,63,45,14,4,0.7728,0.8681,0.91
2025-07-25,BABA,70,25,40,5,0.7981,0.815,0.7786
2025-07-25,T,84,24,54,6,0.8483,0.8209,0.9268
2025-07-25,META,77,33,33,11,0.8265,0.7496,0.6615
