date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-21,AMZN,84,0,72,12,0.0,0.8914,0.6778
2025-07-21,AAPL,80,5,64,11,0.8236,0.898,0.7807
2025-07-21,GOOGL,84,6,66,12,0.6828,0.8658,0.7894
2025-07-21,005930.KS,66,0,56,10,0.0,0.8689,0.9666
2025-07-21,2317.TW,42,4,25,13,0.7715,0.8336,0.9202
2025-07-21,MSFT,64,5,53,6,0.7852,0.8797,0.7084
2025-07-21,JD,43,25,12,6,0.836,0.8581,0.7628
2025-07-21,BABA,66,5,40,21,0.7489,0.8415,0.8007
2025-07-21,T,84,18,42,24,0.6625,0.7781,0.8415
2025-07-21,META,74,21,48,5,0.6646,0.8856,0.6394
