symbol,predicted_price,date
AMZN,215.32,2025-08-07
AAPL,206.33,2025-08-07
GOOGL,195.04,2025-08-07
005930.KS,69012.32,2025-08-07
2317.TW,184.68,2025-08-07
MSFT,514.19,2025-08-07
JD,31.28,2025-08-07
BABA,119.51,2025-08-07
T,27.41,2025-08-07
META,766.64,2025-08-07
