symbol,predicted_price,date
AMZN,216.09,2025-08-07
AAPL,206.75,2025-08-07
GOOGL,193.83,2025-08-07
005930.KS,69300.31,2025-08-07
2317.TW,187.29,2025-08-07
MSFT,528.52,2025-08-07
JD,31.38,2025-08-07
BABA,119.4,2025-08-07
T,27.62,2025-08-07
META,769.6,2025-08-07
