date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-20,AMZN,84,6,72,6,0.634,0.8753,0.9486
2025-07-20,AAPL,84,6,66,12,0.5882,0.8622,0.8602
2025-07-20,GOOGL,84,6,72,6,0.7556,0.7546,0.8789
2025-07-20,005930.KS,74,6,57,11,0.9176,0.8652,0.7317
2025-07-20,2317.TW,56,6,33,17,0.7715,0.8278,0.9198
2025-07-20,MSFT,76,0,60,16,0.0,0.8576,0.8749
2025-07-20,JD,53,29,16,8,0.8643,0.8596,0.7488
2025-07-20,BABA,70,20,30,20,0.847,0.8462,0.8141
2025-07-20,T,84,18,42,24,0.7818,0.8177,0.7143
2025-07-20,META,84,6,36,42,0.5812,0.8264,0.8396
