date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-30,AMZN,84,6,60,18,0.7294,0.9041,0.9469
2025-07-30,AAPL,84,6,54,24,0.9144,0.8513,0.8649
2025-07-30,GOOGL,84,0,84,0,0.0,0.8082,0.0
2025-07-30,005930.KS,84,18,30,36,0.8663,0.8652,0.8696
2025-07-30,2317.TW,31,12,8,11,0.9181,0.8534,0.8213
2025-07-30,MSFT,84,12,54,18,0.7443,0.7944,0.9469
2025-07-30,JD,59,14,35,10,0.7706,0.6595,0.712
2025-07-30,BABA,73,15,58,0,0.6997,0.8865,0.0
2025-07-30,T,84,6,72,6,0.7886,0.7767,0.9401
2025-07-30,META,81,12,57,12,0.8156,0.7972,0.902
