symbol,predicted_price,date
AMZN,230.2,2025-08-01
AAPL,208.05,2025-08-01
GOOGL,191.94,2025-08-01
005930.KS,72176.12,2025-08-01
2317.TW,176.08,2025-08-01
MSFT,517.35,2025-08-01
JD,31.55,2025-08-01
BABA,119.23,2025-08-01
T,27.39,2025-08-01
META,725.23,2025-08-01
